source,degree_centrality,closeness_centrality,betweenness_centrality,pagerank,hits_hubs,hits_authorities
61998CJ0344,0.0004525706010137581,0.04350070854114629,2.9825715545086784e-06,6.108369035265888e-05,2.8724087650065393e-06,3.1636116629917157e-05
61992CJ0235,0.0009956553222302679,0.040355073764309725,5.198202279654964e-05,0.00011052705750394553,5.760649183602202e-05,2.9195971051978825e-06
61992CJ0199,0.001448225923244026,0.04407974075044336,0.00019950299985991955,5.864774351636951e-05,0.00047508506777188097,7.855784516934817e-06
61996CJ0389,0.000724112961622013,0.04631598342334175,1.853516760016397e-05,3.6964163873359646e-05,0.0001248925178055544,8.858792921495459e-05
61995CJ0164,0.0003620564808110065,9.051412020275162e-05,4.916128552697653e-08,3.552697687383805e-05,9.795747048900843e-08,1.0704762999145022e-07
61997CJ0321,0.0012671976828385228,0.06210979009334022,0.0005363217663999631,0.00022680599948463333,0.00014241931389393352,0.000534619349520669
61994CJ0244,0.0006335988414192614,0.06853122224351124,2.745544829609067e-06,5.47685718750111e-05,3.7909527997858365e-05,0.00012698069404198028
61995CJ0120,0.0016292541636495292,0.06689824362100215,0.0004643937493139308,0.0001462240115225893,0.0001833560410033131,0.0007664849708031767
61996CJ0142,0.00018102824040550325,0.00012068549360366883,1.6387095175658844e-08,5.78055582611595e-05,2.86323647944719e-191,5.418206523237232e-190
61993CJ0150,9.051412020275162e-05,0.0,0.0,2.769082607392964e-05,3.889721584674785e-10,0.0
61994CJ0103,0.0005430847212165098,0.07256382247139607,6.257626482331698e-05,5.953612574344955e-05,2.8108135517472894e-07,6.601680689342363e-05
62016CJ0556,0.0005430847212165098,9.051412020275162e-05,1.189385749965676e-05,3.552697687383805e-05,6.8527671579378895e-09,6.545372959160936e-10
62004CJ0113,0.0005430847212165098,0.0440607276586529,4.1786855949756504e-05,7.556139064695614e-05,4.6711379464474844e-05,8.520136857657543e-07
62003CJ0540,0.0025343953656770456,0.04948323983861467,0.0010770607255149321,0.00012252406358554738,0.00038643118084139515,0.0001363732015161135
62004CJ0507,0.0009956553222302679,0.00041377883521257885,1.0842794641227603e-06,6.904463269979136e-05,2.5013557061950905e-05,1.5740761309374417e-05
62004CJ0235,0.0006335988414192614,0.04653577378543574,4.3162596306980917e-05,7.747452200827799e-05,3.214410453325645e-07,3.258221928143683e-05
62004CJ0508,0.0005430847212165098,0.0009212138028111824,5.21174686645176e-05,5.5146516008767226e-05,2.92225066291173e-06,9.994266820815454e-06
62005CJ0229,0.0012671976828385228,0.042222334571581796,0.000245941846263773,0.0001376423845416766,1.4892684797542249e-05,1.874847889777791e-05
62005CJ0328,0.0006335988414192614,0.04506668527612456,0.0004125520547614269,9.700289257409649e-05,1.5127886931085776e-05,4.2626607542390086e-06
62000CJ0094,0.0013577118030412743,0.07023392267219437,0.0,0.000161716479506349,0.0,0.00035065136829410425
61999CJ0238,0.004706734250543084,0.0693730583834158,0.0018926255292571808,0.0007311491152484725,3.26672076154118e-05,0.00021031692686296805
61998CJ0279,,,,,,
61998CJ0480,0.0009051412020275162,0.04231902656992173,3.536284760283397e-05,6.348820468518379e-05,3.6466517441699344e-05,2.377236858882042e-06
61997CJ0340,0.0025343953656770456,0.057749873611710294,0.00020307830558406544,0.00013725588757630155,0.00014080310560911182,0.0002993049464615733
62000CJ0190,,,,,,
61999CJ0122,0.0005430847212165098,0.0440064195757373,0.000528662561435529,3.873692082468381e-05,5.814659873370061e-06,0.00014161482602445644
62004CJ0105,0.0013577118030412743,0.04607284728624839,5.3947334479886175e-05,0.00013956815637474867,4.6711379464474844e-05,2.5456856185266495e-05
62016CJ0187,0.0003620564808110065,0.0,0.0,2.769082607392964e-05,2.3848921767164847e-05,0.0
62005CJ0457,0.0002715423606082549,0.00012068549360366883,7.262994683211652e-07,3.1455167597333374e-05,4.936961474137207e-06,2.2344485477860213e-06
62001CJ0215,0.0009051412020275162,0.05894964015014729,1.0066105608335946e-05,6.814426058110585e-05,0.00028969025059476136,0.0005759352220515462
61999CJ0313,0.0012671976828385228,0.04790060526263565,1.1469903181352122e-05,0.0002234309369123657,3.412822485607141e-06,8.806120249831077e-05
62005CJ0289,0.00018102824040550325,0.00022175959449674147,1.1195084673426538e-07,3.1521255379839426e-05,5.067967500379889e-06,1.6896407302274426e-06
62004CJ0432,9.051412020275162e-05,0.00012068549360366883,0.0,4.043599424191795e-05,0.0,2.8722218379952804e-09
62004CJ0366,0.001176683562635771,0.04329914578884362,0.00028145406482036033,6.198516421694252e-05,0.00022655927129824291,7.339358053779269e-05
62001CJ0109,0.0003620564808110065,0.04756627713839542,0.00019029274361254182,4.699487313857497e-05,5.654231086500429e-05,4.301706676012075e-05
62002CJ0237,0.0008146270818247646,0.05732853883089341,0.00013297453473897194,0.00013416705623167647,2.308728463318979e-05,8.45726075353786e-05
62004CJ0403,0.0015387400434467777,0.04107767223893846,0.00038214442490945957,0.00016323187088544043,8.257456790711851e-05,1.7595227724716407e-05
62002CJ0025,0.0003620564808110065,0.0,0.0,2.769082607392964e-05,5.871419231945605e-06,0.0
62000CJ0442,0.0015387400434467777,0.06824780453661615,0.0012132997716715963,0.00024335335038358055,9.133066458314335e-05,9.514857667431268e-05
61993CJ0393,0.0003620564808110065,0.0,0.0,2.769082607392964e-05,2.4260468796128098e-06,0.0
61993CJ0148,9.051412020275162e-05,0.00021723388848660392,0.0,3.342430057323494e-05,0.0,1.4835884051487926e-06
62002CJ0141,0.0003620564808110065,0.039655790262876536,0.00026284138325201404,4.8380090376974094e-05,3.8293103174124296e-07,5.298952567205576e-06
62005CJ0134,0.0010861694424330196,0.05071641384995639,0.00019453925547791202,5.620594851135133e-05,0.0004924784636156038,0.00013083183869611024
62004CJ0058,,,,,,
62016CJ0596,,,,,,
62016CJ0537,,,,,,
62015CJ0688,0.0003620564808110065,0.0,0.0,2.769082607392964e-05,4.879279722473625e-07,0.0
62016CJ0522,9.051412020275162e-05,0.0,0.0,2.769082607392964e-05,4.4699030700226066e-05,0.0
62016CJ0290,0.0005430847212165098,0.00018102824040550325,8.43688987051948e-06,3.692628951667884e-05,8.828295997302535e-07,1.345877468674419e-06
61995CJ0171,0.001448225923244026,0.055376243244871434,4.433671630827111e-06,0.00011175453076293393,5.2987860201301085e-05,0.00010148185738613479
61996CJ0292,0.00018102824040550325,0.00018102824040550325,0.0,3.25884203238724e-05,0.0,6.0169584427136735e-06
61996CJ0307,0.00018102824040550325,0.002477770418441201,2.4009289132586945e-05,3.391463218067846e-05,2.86323647944719e-191,2.2994027397029416e-05
61994CJ0243,0.0003620564808110065,0.0,0.0,2.769082607392964e-05,1.1588659673168004e-05,0.0
61993CJ0321,0.0002715423606082549,0.0006229202092605099,3.925354255639436e-06,4.056068163667988e-05,0.0003434860798682302,3.823560066928477e-07
61997CJ0290,9.051412020275162e-05,9.051412020275162e-05,0.0,3.104917641674753e-05,0.0,2.2049756805225316e-06
61997CJ0251,0.0006335988414192614,0.04698047207724674,0.00026622807058966484,8.631942649842524e-05,1.8076732078838954e-05,1.5512025418440987e-06
61993CJ0056,0.0013577118030412743,0.06769015584539757,0.00045239652599347744,0.00026677069654226733,1.1417144554922598e-05,5.00523117290363e-05
61997CJ0280,0.0008146270818247646,0.04311186169662529,0.00011249386152756928,0.00013577837325921962,2.759601839164479e-06,4.1215070661947984e-05
61996CJ0080,,,,,,
61995CJ0059,0.0006335988414192614,0.03758685593212238,1.9506556504795774e-06,5.142989178022557e-05,6.38346606991821e-06,4.115489688606649e-06
62000CJ0422,,,,,,
61998CJ0031,9.051412020275162e-05,0.0,0.0,2.769082607392964e-05,7.106242580059922e-10,0.0
61995CJ0223,0.00018102824040550325,0.040124680036267735,3.6939243708464316e-07,3.37779190797533e-05,9.911917834566173e-06,3.3746340900706955e-06
61999CJ0382,0.0004525706010137581,0.0005359388696215558,1.7837824439146143e-07,3.4762695633975014e-05,2.958888405526843e-06,2.239745263481564e-05
62001CJ0257,0.0003620564808110065,0.046955370465656766,5.289118347342285e-05,7.016629654425803e-05,3.1704228271238244e-08,4.342101133417036e-06
62001CJ0024,0.0008146270818247646,0.04140093276419085,0.00025666177979256124,0.00012218031742035926,1.9630577957311794e-05,2.150729274377745e-05
61997CJ0210,0.0008146270818247646,0.05253796101468148,1.457444237807575e-07,7.253881793435102e-05,1.4829109643200352e-05,4.411216789121646e-05
62000CJ0347,0.0002715423606082549,0.04771316092336471,6.35025112849885e-05,5.081696402615371e-05,3.166749961492094e-05,5.4146801177870635e-05
61995CJ0180,0.00018102824040550325,0.03551238515581361,1.365591264638237e-08,2.9695585927426728e-05,1.8954571689866445e-06,5.4945383238982314e-05
62002CJ0116,0.0005430847212165098,0.03951810148562681,0.0004163956714724483,8.940441498464227e-05,2.6086836116356644e-06,6.816944230300335e-08
62001CJ0078,0.0005430847212165098,0.0006118754525706011,8.603224967220894e-08,7.428155606828158e-05,4.061355931107992e-07,5.534880112564064e-06
62016CJ0573,0.0002715423606082549,0.0,0.0,2.769082607392964e-05,3.575189312733971e-06,0.0
62005CJ0456,0.0016292541636495292,0.03924565592886478,0.0002433359607674116,5.601386840107388e-05,0.0006379040760087981,0.0001544210262132906
61998CJ0351,0.0009956553222302679,0.058317682956111644,0.0016353991539729343,0.00011691430485286786,7.93449970015437e-06,7.828790682684918e-05
61998CJ0251,0.0029869659666908036,0.060764329414671234,0.00016279265166035495,0.00022031263074530013,0.0018065781944734737,0.00734454026640487
61999CJ0063,0.0017197682838522809,0.05447349131727333,0.00025669178427488166,6.281467238849037e-05,0.0002741553738991912,0.0001435889390151071
61999CJ0235,0.0013577118030412743,0.04523354143824557,5.5608871312827234e-05,4.472335045579427e-05,0.0002741553738991912,5.607120318709008e-05
61997CJ0442,0.0002715423606082549,0.00047802769732078207,1.2222041818512223e-07,4.037420202023475e-05,9.690854988171703e-08,1.038507006039117e-06
61997CJ0143,9.051412020275162e-05,0.0,0.0,2.769082607392964e-05,2.1400496062678987e-06,0.0
62005CJ0137,0.0003620564808110065,0.0,0.0,2.769082607392964e-05,8.933728479715147e-06,0.0
62004CJ0503,0.0016292541636495292,0.054478333261925395,0.004393900500873825,0.00019744708134458304,0.00011960366700155112,3.1029048042361976e-05
61993CJ0356,,,,,,
61993CJ0325,0.0002715423606082549,0.0,0.0,2.769082607392964e-05,2.2285812980167508e-06,0.0
61993CJ0020,,,,,,
62001CJ0338,0.0015387400434467777,0.03559781278407891,0.00017909399675028784,0.00010876205578898607,1.836055153743223e-05,0.00025310208567576044
62001CJ0330,,,,,,
62001CJ0271,0.000724112961622013,0.04130421030468245,0.0002671532095727401,5.045724124030065e-05,2.2887132269721885e-05,2.942069202423661e-05
62002CJ0094,0.0003620564808110065,0.00047362039640974694,3.7329077496109174e-06,5.6804456477850616e-05,1.2554718715575497e-05,2.5045543921235396e-06
62002CJ0093,0.0009956553222302679,0.04353159552163773,2.8704710900879862e-05,0.0001517667282345868,1.2554718715575497e-05,6.828151539422803e-05
62001CJ0220,0.0002715423606082549,0.044294801935830956,3.6937623284063626e-06,5.729345926536921e-05,6.3429896889963885e-06,1.964716631710595e-05
62000CJ0469,0.001448225923244026,0.04673389146815891,0.00034490475690471907,6.279930258278928e-05,5.854276956312878e-05,7.067135337896929e-05
62001CJ0108,0.0010861694424330196,0.04679633574496377,0.00015833549389355293,7.247502854439792e-05,2.497330597446914e-05,2.7900377605106133e-05
62001CJ0265,9.051412020275162e-05,0.0,0.0,2.769082607392964e-05,3.149899226183849e-06,0.0
62000CJ0157,0.0003620564808110065,0.03425262853220898,0.0007853681396981911,0.00010362428678558077,7.630771780779914e-08,2.3228876316162822e-08
62000CJ0336,0.0020818247646632875,0.04759397991155862,0.0006998458340712853,0.0001021794579162493,2.9710995262112303e-05,2.891900089469966e-05
61996CJ0061,0.0002715423606082549,0.0374972010393769,7.608387571200968e-06,4.32456506972965e-05,2.797840772240437e-06,7.527078258710513e-07
61999CJ0500,0.0006335988414192614,0.03855602394521261,0.00019410236448116514,4.000983117015457e-05,2.2360791360145188e-06,5.4864287751480076e-06
61999CJ0118,0.0003620564808110065,0.00022628530050687907,1.2193364401954818e-06,3.600794496174671e-05,4.00201585086153e-07,5.378233291150204e-08
61999CJ0248,0.0020818247646632875,0.04744231873165131,0.0002479965792511335,0.00015556858720180373,2.1897910179204585e-05,9.593109339250865e-05
61998CJ0277,0.0003620564808110065,0.04430653919138757,6.686698941544406e-05,3.2084619330875565e-05,8.000326211647348e-06,2.539809260571377e-06
61999CJ0457,,,,,,
61998CJ0263,0.0004525706010137581,0.00012068549360366883,1.6004729621560138e-07,3.2159424789509234e-05,1.2813837124319957e-07,2.3034283719300178e-08
61998CJ0278,0.000724112961622013,0.03241939181048106,0.0008661001655146686,0.00015014790220847744,8.138516948601929e-07,1.4439986964659964e-06
61999CJ0333,0.001448225923244026,0.057051194794238085,0.000138139202777439,0.00025648286764399126,2.7852585964303457e-06,0.00012861560837540192
61998CJ0247,0.0010861694424330196,0.026308082956650273,0.0004153531813919458,0.0001363577986579442,8.2772468347144e-06,2.029879064759967e-06
61999CJ0110,0.0015387400434467777,0.04877636454109119,0.00033105787808206805,0.00015816685052067985,4.6138603817955e-05,7.461791116524638e-05
61999CJ0099,,,,,,
61998CJ0477,,,,,,
61999CJ0395,,,,,,
61999CJ0114,0.0002715423606082549,0.04040409490317817,8.067202943280225e-06,4.537855590404046e-05,3.882774270482293e-07,8.982596998258182e-07
61999CJ0022,9.051412020275162e-05,0.0,0.0,2.769082607392964e-05,6.433604178909694e-06,0.0
61998CJ0369,,,,,,
61999CJ0117,0.00018102824040550325,9.051412020275162e-05,1.9418707783155732e-06,5.119927847365488e-05,6.102431610150498e-06,5.418206523237232e-190
61997CJ0242,0.0012671976828385228,0.0006517016654598117,0.00042055047715314263,0.00011032295212343094,2.864437526350722e-06,3.5346842557716704e-07
