,case_id,law_id,cited_article,law_type
104854,62013CJ0131,31977L0388,A28TERLAP2,L
104891,62013CJ0134,31987R2658,TR1AP6,R
105008,62013CJ0141,32009R0207,ENTIRE_ARTICLE,R
105024,62013CJ0143,31993L0013,N1PT2LD,L
105063,62013CJ0144,32006L0112,TIT9,L
105165,62013CJ0151,32006L0112,A73,L
105221,62013CJ0157,32001R0044,ENTIRE_ARTICLE,R
105362,62013CJ0171,31971R1408,A10P1L1,R
105400,62013CJ0179,31971R1408,C8,R
105432,62013CJ0183,31977L0388,ENTIRE_ARTICLE,L
105473,62013CJ0190,31999L0070,NPT8,L
105625,62013CJ0201,32001L0029,C31,L
105653,62013CJ0202,32004L0038,ENTIRE_ARTICLE,L
105664,62013CJ0204,32006L0112,A169,L
105671,62013CJ0205,31994R0040,A07P1LE,R
105698,62013CJ0211,31988L0361,N1,L
105730,62013CJ0213,32004L0018,ENTIRE_ARTICLE,L
105734,62013CJ0217,31989L0104,ENTIRE_ARTICLE,L
105754,62013CJ0219,32006L0112,N3PT6,L
105782,62013CJ0226,32001R0044,A01,R
105835,62013CJ0244,32004L0038,ENTIRE_ARTICLE,L
105879,62013CJ0250,31972R0574,ENTIRE_ARTICLE,R
105895,62013CJ0252,31976L0207,ENTIRE_ARTICLE,L
105914,62013CJ0255,31972R0574,ENTIRE_ARTICLE,R
106000,62013CJ0266,31971R1408,TIT2,R
106020,62013CJ0267,31987R2658,NT1,R
106026,62013CJ0268,31972R0574,A02P1,R
106068,62013CJ0271,31999R0659,A14P2,R
106080,62013CJ0272,32006L0112,ENTIRE_ARTICLE,L
106117,62013CJ0279,32001L0029,ENTIRE_ARTICLE,L
106134,62013CJ0280,31993L0013,NPT1,L
106150,62013CJ0286,32003R0001,A23P2,R
106177,62013CJ0295,32001R0044,ENTIRE_ARTICLE,R
106205,62013CJ0297,31987R2658,TR1AP3LB,R
106216,62013CJ0299,31969L0335,ENTIRE_ARTICLE,L
106262,62013CJ0302,32001R0044,ENTIRE_ARTICLE,R
106347,62013CJ0308,32009R0207,ENTIRE_ARTICLE,R
106392,62013CJ0315,31972R0574,A11,R
106415,62013CJ0316,32003L0088,ENTIRE_ARTICLE,L
106440,62013CJ0318,31979L0007,ENTIRE_ARTICLE,L
106494,62013CJ0325,32009R0207,ENTIRE_ARTICLE,R
106537,62013CJ0330,31987R2658,TR1APT6,R
106566,62013CJ0333,32004L0038,C18,L
106580,62013CJ0334,31992R2913,A05P7L4,R
106635,62013CJ0337,32006L0112,A90P2,L
106761,62013CJ0352,32001R0044,ENTIRE_ARTICLE,R
106788,62013CJ0354,32000L0078,ENTIRE_ARTICLE,L
106823,62013CJ0357,31969L0335,ENTIRE_ARTICLE,L
106861,62013CJ0359,31968R1612,A07P2,R
106863,62013CJ0360,32001L0029,A05P5,L
106876,62013CJ0362,31999L0070,NCL5,L
106899,62013CJ0365,32005L0036,N6,L
106915,62013CJ0366,32001R0044,ENTIRE_ARTICLE,R
106944,62013CJ0373,32004L0038,A28P3,L
106977,62013CJ0375,32001R0044,C15,R
106998,62013CJ0377,31969L0335,ENTIRE_ARTICLE,L
107043,62013CJ0382,31971R1408,ENTIRE_ARTICLE,R
107072,62013CJ0387,31992R2913,A78P1,R
107155,62013CJ0392,31999L0070,ENTIRE_ARTICLE,L
107187,62013CJ0394,31971R1408,ENTIRE_ARTICLE,R
