case_id,bcoefficient,publication_year,total_citations,max_citations_in_a_year,max_citation_year,awakening_time_year,sleep_time_years,time_from_awakening_to_peak_years,top_cited,source_x,case_label,ecli,case_type,judge,advocate,country,country-chamber,chamber,main_subject,lodge_date,document_date,year_document,month_document,year_lodge,month_lodge,case_time,n_countries,joined_cases,ruling_title,ruling_name,ruling_type,ruling_content,source_y,subject
61957CJ0008,1890.0,1958,4,2,2002,2001,43,1,0,61957CJ0008,  Case 8-57,EU:C:1958:9,Judgement,Delvaux,Lagrange,Belgium,Belgium-not_specified,not_specified,1,1957-03-09,1958-06-21,1958,6,1957.0,3.0,469 days 00:00:00.000000000,1,0,Judgment of the Court of 21 June 1958. , Groupement des hauts fourneaux et aciéries belges v High Authority of the European Coal and Steel Community. ,not_specified, Groupement des hauts fourneaux et aciéries belges v High Authority of the European Coal and Steel Community. ,61957CJ0008,Financial provisions ECSC
61957CJ0008,1890.0,1958,4,2,2002,2001,43,1,0,61957CJ0008,  Case 8-57,EU:C:1958:9,Judgement,Delvaux,Lagrange,Belgium,Belgium-not_specified,not_specified,1,1957-03-09,1958-06-21,1958,6,1957.0,3.0,469 days 00:00:00.000000000,1,0,Judgment of the Court of 21 June 1958. , Groupement des hauts fourneaux et aciéries belges v High Authority of the European Coal and Steel Community. ,not_specified, Groupement des hauts fourneaux et aciéries belges v High Authority of the European Coal and Steel Community. ,61957CJ0008,Steel industry
61957CJ0008,1890.0,1958,4,2,2002,2001,43,1,0,61957CJ0008,  Case 8-57,EU:C:1958:9,Judgement,Delvaux,Lagrange,Belgium,Belgium-not_specified,not_specified,1,1957-03-09,1958-06-21,1958,6,1957.0,3.0,469 days 00:00:00.000000000,1,0,Judgment of the Court of 21 June 1958. , Groupement des hauts fourneaux et aciéries belges v High Authority of the European Coal and Steel Community. ,not_specified, Groupement des hauts fourneaux et aciéries belges v High Authority of the European Coal and Steel Community. ,61957CJ0008,Scrap equalisation
61957CJ0008,1890.0,1958,4,2,2002,2001,43,1,0,61957CJ0008,  Case 8-57,EU:C:1958:9,Judgement,Delvaux,Lagrange,Belgium,Belgium-not_specified,not_specified,1,1957-03-09,1958-06-21,1958,6,1957.0,3.0,469 days 00:00:00.000000000,1,0,Judgment of the Court of 21 June 1958. , Groupement des hauts fourneaux et aciéries belges v High Authority of the European Coal and Steel Community. ,not_specified, Groupement des hauts fourneaux et aciéries belges v High Authority of the European Coal and Steel Community. ,61957CJ0008,ECSC matters
61965CJ0044,1889.0,1965,7,2,2009,2008,43,1,0,61965CJ0044,  Case 44-65,EU:C:1965:122,Judgement,Strauss,Gand,France,France-not_specified,not_specified,1,1965-06-01,1965-12-09,1965,12,1965.0,6.0,191 days 00:00:00.000000000,1,0,Judgment of the Court of 9 December 1965. , Hessische Knappschaft v Maison Singer et fils. ,not_specified, Reference for a preliminary ruling: Cour d'appel de Colmar - France. ,61965CJ0044,Social security for migrant workers
61959CJ0014,946.0,1959,1,1,2003,2002,43,1,0,61959CJ0014,  Case 14-59,EU:C:1959:31,Judgement,Riese,Lagrange,France,France-not_specified,not_specified,1,1959-02-27,1959-12-17,1959,12,1959.0,2.0,293 days 00:00:00.000000000,1,0,Judgment of the Court of 17 December 1959. , Société des fonderies de Pont-à-Mousson v High Authority of the European Coal and Steel Community. ,not_specified, Société des fonderies de Pont-à-Mousson v High Authority of the European Coal and Steel Community. ,61959CJ0014,ECSC matters
61959CJ0014,946.0,1959,1,1,2003,2002,43,1,0,61959CJ0014,  Case 14-59,EU:C:1959:31,Judgement,Riese,Lagrange,France,France-not_specified,not_specified,1,1959-02-27,1959-12-17,1959,12,1959.0,2.0,293 days 00:00:00.000000000,1,0,Judgment of the Court of 17 December 1959. , Société des fonderies de Pont-à-Mousson v High Authority of the European Coal and Steel Community. ,not_specified, Société des fonderies de Pont-à-Mousson v High Authority of the European Coal and Steel Community. ,61959CJ0014,Scrap equalisation
61959CJ0014,946.0,1959,1,1,2003,2002,43,1,0,61959CJ0014,  Case 14-59,EU:C:1959:31,Judgement,Riese,Lagrange,France,France-not_specified,not_specified,1,1959-02-27,1959-12-17,1959,12,1959.0,2.0,293 days 00:00:00.000000000,1,0,Judgment of the Court of 17 December 1959. , Société des fonderies de Pont-à-Mousson v High Authority of the European Coal and Steel Community. ,not_specified, Société des fonderies de Pont-à-Mousson v High Authority of the European Coal and Steel Community. ,61959CJ0014,Steel industry
61959CJ0014,946.0,1959,1,1,2003,2002,43,1,0,61959CJ0014,  Case 14-59,EU:C:1959:31,Judgement,Riese,Lagrange,France,France-not_specified,not_specified,1,1959-02-27,1959-12-17,1959,12,1959.0,2.0,293 days 00:00:00.000000000,1,0,Judgment of the Court of 17 December 1959. , Société des fonderies de Pont-à-Mousson v High Authority of the European Coal and Steel Community. ,not_specified, Société des fonderies de Pont-à-Mousson v High Authority of the European Coal and Steel Community. ,61959CJ0014,Financial provisions ECSC
61972CJ0038,946.0,1972,1,1,2016,2015,43,1,0,61972CJ0038,  Case 38-72,EU:C:1972:127,Judgement,Pescatore,Mayras,Germany,Germany-not_specified,not_specified,2,1972-06-28,1972-12-14,1972,12,1972.0,6.0,169 days 00:00:00.000000000,1,0,Judgment of the Court of 14 December 1972. , Arend van de Poll KG v Hauptzollamt Trier. , Reference for a preliminary ruling: Finanzgericht Rheinland-Pfalz - Germany. , Common customs tariff - Position 23.07. ,61972CJ0038,Common customs tariff
